Precinct,ResultType,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
MELROSE - Monroe Precinct 7,SDE,0.0,0.0923,0.0,0.0923,0.0,0.0,0.0462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No. 3-Albia Third Ward,First,0,0,0,4,0,0,3,0,2,0,1,0,0,0
No. 3-Albia Third Ward,Final,0,0,0,4,0,0,3,0,3,0,0,0,0,0
No. 3-Albia Third Ward,SDE,0.0,0.0,0.0,0.1385,0.0,0.0,0.1385,0.0,0.0923,0.0,0.0,0.0,0.0,0.0
No. 1-Albia First Ward,First,0,9,0,9,0,0,2,0,1,3,2,2,0,0
No. 1-Albia First Ward,Final,0,10,0,14,0,0,0,0,0,0,0,0,0,0
No. 1-Albia First Ward,SDE,0.0,0.1846,0.0,0.2769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 PILOT GROVE FRANKFORT DOUGLAS WASH TWP GRANT,First,0,1,0,9,0,0,8,0,0,0,5,0,0,0
5 PILOT GROVE FRANKFORT DOUGLAS WASH TWP GRANT,Final,0,0,0,9,0,0,8,0,0,0,6,0,0,0
5 PILOT GROVE FRANKFORT DOUGLAS WASH TWP GRANT,SDE,0.0,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0
6 WEST GRANT SCOTT TWP COBURG STANTON,First,0,0,2,7,0,0,3,0,10,3,5,1,0,0
6 WEST GRANT SCOTT TWP COBURG STANTON,Final,0,0,0,7,0,0,0,0,10,6,8,0,0,0
6 WEST GRANT SCOTT TWP COBURG STANTON,SDE,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.16,0.08,0.08,0.0,0.0,0.0
7 SCOTT EAST TWP VILLISCA,First,0,1,0,14,0,0,4,0,8,0,6,0,0,0
7 SCOTT EAST TWP VILLISCA,Final,0,1,0,17,0,0,0,0,8,0,6,0,0,1
7 SCOTT EAST TWP VILLISCA,SDE,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.16,0.0,0.08,0.0,0.0,0.0
4 GRFLD LNCLN SHER PILOT GROVE TWP ELLIOTT,First,0,4,0,5,0,0,5,0,0,2,0,0,0,0
4 GRFLD LNCLN SHER PILOT GROVE TWP ELLIOTT,Final,0,4,0,6,0,0,6,0,0,0,0,0,0,0
4 GRFLD LNCLN SHER PILOT GROVE TWP ELLIOTT,SDE,0.0,0.08,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WARD2 SHERMAN RO TWP,First,0,11,2,15,0,0,2,0,16,2,0,0,0,0
