precinct,precinct_id,total_attendance,bennet first_alignment,bennet final_alignment,bennet county_delegates,biden first_alignment,biden final_alignment,biden county_delegates,buttigieg first_alignment,buttigieg final_alignment,buttigieg county_delegates,delaney first_alignment,delaney final_alignment,delaney county_delegates,gabbard first_alignment,gabbard final_alignment,gabbard county_delegates,klobuchar first_alignment,klobuchar final_alignment,klobuchar county_delegates,patrick first_alignment,patrick final_alignment,patrick county_delegates,sanders first_alignment,sanders final_alignment,sanders county_delegates,steyer first_alignment,steyer final_alignment,steyer county_delegates,uncommitted first_alignment,uncommitted final_alignment,uncommitted county_delegates,warren first_alignment,warren final_alignment,warren county_delegates,yang first_alignment,yang final_alignment,yang county_delegates
Elko - 1,Elko - 1,25,0,0,0,0,0,0,8,9,1,0,0,0,0,0,0,2,0,0,0,0,0,13,15,2,1,0,0,0,0,0,1,0,0,0,0,0
Washoe - 820600,Washoe - 820600,1,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Washoe - 741500,Washoe - 741500,62,0,0,0,27,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,4,0,0,0,0,0,0,0,0,0,0,0,0
Washoe - 825600,Washoe - 825600,55,0,0,0,4,0,0,13,14,1,0,0,0,0,0,0,9,11,1,0,0,0,8,2,0,10,13,1,0,2,0,11,13,1,0,0,0
Clark - 6539,Clark - 6539,78,0,0,0,11,16,3,9,6,0,0,0,0,1,0,0,1,0,0,0,0,0,32,34,6,7,0,0,2,0,0,13,19,3,2,1,0
Humboldt - 10,Humboldt - 10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Clark - 5544,Clark - 5544,74,1,0,0,14,19,5,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,39,47,11,2,0,0,0,0,0,8,4,0,0,0,0
Clark - 5545,Clark - 5545,115,0,0,0,19,19,5,19,19,7,0,0,0,0,0,0,9,9,0,0,0,0,39,39,10,15,15,0,0,0,0,12,12,0,2,2,0
Washoe - 206200,Washoe - 206200,7,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Clark - 4513,Clark - 4513,27,0,0,0,5,8,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,11,3,2,0,0,0,0,0,6,8,2,0,0,0
Lyon - 24,Lyon - 24,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4,1,0,0,0,9,13,2,3,0,0,0,0,0,3,4,1,0,0,0
Clark - 6605,Clark - 6605,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0
